what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1367626691633
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1367626691633
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1367626691634
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1367626691634
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1367626691634
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1367626691635
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1367626691635
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1367626691636
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1367626691636
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1367626691636
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1367626691637
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1367626691648
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1367626691648
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1367626691649
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1367626691650
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1367626691650
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1367626691653
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1367626691653
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1367626691654
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1367626691654
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1367626691654
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1367626691654
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1367626691655
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1367626691655
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1367626691667
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1367626691667
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1367626691676
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1367626691676
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1367626691677
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1367626691677
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1367626691678
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1367626691679
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1367626691679
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1367626691680
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1367626691680
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1367626691680
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1367626691681
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1367626691693
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1367626691693
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1367626691693
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1367626691694
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1367626691695
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1367626691695
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1367626691695
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1367626691696
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1367626691702
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1367626691702
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1367626691703
started,bundle,org.tigris.subversion.subclipse.core,1.6.15,"org.tigris.subversion.subclipse.core",1367626691703
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1367626691703
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1367626691703
os,sysinfo,,,"win32",1367626691705
arch,sysinfo,,,"x86",1367626691705
ws,sysinfo,,,"win32",1367626691705
locale,sysinfo,,,"en_US",1367626691705
processors,sysinfo,,,"4",1367626691705
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1367626691705
java.runtime.version,sysinfo,,,"1.7.0_07-b11",1367626691705
java.specification.name,sysinfo,,,"Java Platform API Specification",1367626691705
java.specification.vendor,sysinfo,,,"Oracle Corporation",1367626691705
java.specification.version,sysinfo,,,"1.7",1367626691705
java.vendor,sysinfo,,,"Oracle Corporation",1367626691705
java.version,sysinfo,,,"1.7.0_07",1367626691705
java.vm.info,sysinfo,,,"mixed mode, sharing",1367626691705
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1367626691705
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367626691705
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1367626691705
java.vm.specification.version,sysinfo,,,"1.7",1367626691705
java.vm.vendor,sysinfo,,,"Oracle Corporation",1367626691705
java.vm.version,sysinfo,,,"23.3-b01",1367626691705
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367626691718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367626693739
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1367626695274
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1367626695294
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1367626695335
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367626701059
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367626757443
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1367626757450
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1367626757598
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1367626757659
started,bundle,com.collabnet.subversion.merge,2.2.1,"com.collabnet.subversion.merge",1367626757810
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1367626757958
started,bundle,org.tigris.subversion.subclipse.ui,1.6.16,"org.tigris.subversion.subclipse.ui",1367626758256
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367626856453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367626899805
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367626919166
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1367626930091
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367626931055
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1367626931142
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1367626932344
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1367626932691
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367626932768
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367626932969
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1367626933139
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1367626933259
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367626961027
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1367626962786
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1367626962865
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1367626962930
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1367626963293
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1367626963393
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1367626964433
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1367626964452
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367626980828
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.properties",1367626980947
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1367626988087
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367626990962
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367626993407
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367626993450
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367626994547
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367627068007
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367627107233
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1367627112817
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1367627112817
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1367627114530
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1367627114559
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1367627114824
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1367627114833
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1367627115633
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367627122854
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367627317282
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367627326049
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1367627337401
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1367627337412
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1367627337422
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367627358398
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367627365928
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367627402738
started,bundle,org.python.pydev.core,2.2.2.2011082312,"org.python.pydev.core",1367627407512
started,bundle,org.python.pydev.debug,2.2.2.2011082312,"org.python.pydev.debug",1367627407553
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367627408275
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367627449610
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1367627451353
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367627456611
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367627618081
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1367627618089
started,bundle,com.python.pydev.analysis,2.2.2.2011082312,"com.python.pydev.analysis",1367627619469
started,bundle,org.python.pydev,2.2.2.2011082312,"org.python.pydev",1367627619478
error,log,,,"Server returned HTTP response code: 500 for URL: https://ping.aptana.com/ping.php",1367627620240
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367627620503
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367627621965
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1367627622225
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1367627622719
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1367627622720
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1367627622734
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1367627622751
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1367627622813
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1367627622889
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1367627622897
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1367627622897
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1367627622941
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1367627622941
stopped,bundle,com.collabnet.subversion.merge,2.2.1,"com.collabnet.subversion.merge",1367627622941
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.9,"org.tigris.subversion.subclipse.graph",1367627622941
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1367627622941
stopped,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1367627622941
stopped,bundle,org.tigris.subversion.subclipse.ui,1.6.16,"org.tigris.subversion.subclipse.ui",1367627622941
stopped,bundle,com.python.pydev.codecompletion,2.2.2.2011082312,"com.python.pydev.codecompletion",1367627623009
stopped,bundle,com.python.pydev.refactoring,2.2.2.2011082312,"com.python.pydev.refactoring",1367627623137
stopped,bundle,com.python.pydev.analysis,2.2.2.2011082312,"com.python.pydev.analysis",1367627623137
stopped,bundle,com.python.pydev.debug,2.2.2.2011082312,"com.python.pydev.debug",1367627623155
stopped,bundle,com.python.pydev.fastparser,2.2.2.2011082312,"com.python.pydev.fastparser",1367627623258
stopped,bundle,org.python.pydev.red_core,2.2.2.2011082312,"org.python.pydev.red_core",1367627623312
stopped,bundle,com.python.pydev,2.2.2.2011082312,"com.python.pydev",1367627623319
stopped,bundle,org.python.pydev.django,2.2.2.2011082312,"org.python.pydev.django",1367627623393
stopped,bundle,org.python.pydev.customizations,2.2.2.2011082312,"org.python.pydev.customizations",1367627623708
stopped,bundle,org.python.pydev.debug,2.2.2.2011082312,"org.python.pydev.debug",1367627623708
stopped,bundle,org.python.pydev.refactoring,2.2.2.2011082312,"org.python.pydev.refactoring",1367627623857
stopped,bundle,org.python.pydev,2.2.2.2011082312,"org.python.pydev",1367627623857
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1367627623857
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1367627623857
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1367627623859
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1367627623859
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1367627623886
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1367627623928
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1367627623928
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1367627623928
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1367627623929
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1367627623929
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1367627623929
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1367627623929
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1367627623929
